trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id
a370f15f-9f60-4472-ac08-f033a5c67fe6,O0639AAA0A,D_REG,Saens Peña,639,0,axhq
51fe20a7-4c03-4dc9-af49-50243ac0eba0,O0639AAA0A,D_REG,Saens Peña,639,0,axhq
204e99de-5201-4f10-b72a-1696dfd5348e,O0639AAA0A,D_REG,Saens Peña,639,0,axhq
ae2d4f8d-8ea3-4fe3-8709-cdd3780271c9,O0639AAA0A,D_REG,Saens Peña,639,0,axhq
c135eb05-268a-446b-8942-2df0c983c42c,O0639AAA0A,D_REG,Saens Peña,639,0,axhq
e73ac9d6-215d-42fa-ab91-217e2ab3e02e,O0639AAA0A,D_REG,Saens Peña,639,0,axhq
c89a77ef-5f69-43ff-9b9e-38cf35459770,O0639AAA0A,D_REG,Saens Peña,639,0,axhq
aff0cb7b-13e1-4922-af27-50753e740117,O0639AAA0A,D_REG,Saens Peña,639,0,axhq
1b2b60a8-841e-4eec-97a6-c0e893e710aa,O0639AAA0A,D_REG,Saens Peña,639,0,axhq
0ef8d121-4b80-45ae-aba6-f3273ba10704,O0639AAA0A,D_REG,Saens Peña,639,0,axhq
4cdb97a8-c77f-414c-b5bb-7f78bce022ed,O0639AAA0A,D_REG,Jardim América,639,1,x0c0
669ebc0f-f357-4b92-ba74-e2a9deab17f0,O0639AAA0A,D_REG,Jardim América,639,1,x0c0
767ab898-58a3-4f30-bbb2-a7caa6d4241e,O0639AAA0A,D_REG,Jardim América,639,1,x0c0
9e0b86cc-8370-4726-b472-64e51af06044,O0639AAA0A,D_REG,Jardim América,639,1,x0c0
fae16131-01b4-4cf1-80b6-486be690d59f,O0639AAA0A,D_REG,Jardim América,639,1,x0c0
ae32e107-eb84-45ba-bf11-e99923a37100,O0639AAA0A,D_REG,Jardim América,639,1,x0c0
09487adc-ae3a-43ed-9068-0ec8eda60339,O0608AAA0A,U_REG,Grajaú,608,1,uckl
857f734e-e858-4b5d-9fc9-3f654a26f766,O0639AAA0A,D_REG,Jardim América,639,1,x0c0
e9b50952-3de5-4c46-8033-0121fec236b0,O0639AAA0A,D_REG,Jardim América,639,1,x0c0
daecc06c-6b7a-4a71-98c5-0a15128d4691,O0112AAA0A,U_REG,Terminal Gentileza,112,1,O0112AAA0AVDU03
073ceffe-f9be-4bdd-afce-650784168861,O0853AAV0A,D_REG,Terminal Mato Alto,SV853,1,mtwu
27aebf1e-44e8-4863-8c6c-4e96c63f621d,O0639AAA0A,D_REG,Jardim América,639,1,x0c0
bcb43f3a-96f5-4033-b4db-2bb8f4ac5edc,O0639AAA0A,D_REG,Jardim América,639,1,x0c0
256dc86d-9300-4993-9e62-4055b5af2263,O0639AAA0A,D_REG,Jardim América,639,1,x0c0
888e546e-ee92-48fb-9287-d20f79976584,O0639AAA0A,D_REG,Jardim América,639,1,x0c0
ac9a6508-c1ac-4deb-bbc6-5042b4e16440,O0639AAA0A,D_REG,Jardim América,639,1,x0c0
3032e34e-2b93-49b4-99e0-65adbf2a0ec4,O0639AAA0A,D_REG,Jardim América,639,1,x0c0
2a02d901-d240-408f-8638-8b6ce3b90e4c,O0639AAA0A,D_REG,Jardim América,639,1,x0c0
31d1b8da-d99a-43f5-b20c-d5043e583aec,O0639AAA0A,D_REG,Jardim América,639,1,x0c0
9c7c482a-75d1-405d-a18a-966a7c5d3299,O0639AAA0A,D_REG,Jardim América,639,1,x0c0
9a401b45-1428-4b25-bbb7-6446e7df2430,O0639AAA0A,D_REG,Jardim América,639,1,x0c0
08d758ac-59d5-4302-a2ba-1ccdba29ec98,O0639AAA0A,D_REG,Jardim América,639,1,x0c0
11d3b014-179b-4fed-8c0d-0d9c8ff44c22,O0774AAV0A,D_REG,Madureira,SV774,1,kdrb
8eda0888-13eb-4e29-9c36-d3dbec5196f8,O0625AAA0A,S_REG,Saens Peña,625,0,iird
dd8bb2b9-46da-41d9-ad51-9b09ae831aef,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
90429656-fd7e-4a1d-8ee3-1b865dfae986,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
0e03b852-1e66-4685-a211-8defbf207810,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
16ea3668-d653-4748-b1cf-708faade4b50,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
5e8d05e3-b97c-48e7-8505-49eb4d2155ce,O0774AAV0A,D_REG,Madureira,SV774,1,kdrb
b650d526-73f5-4605-b3af-0d0c099206d1,O0409AAA0A,S_REG,Horto,409,0,gnoq
e2d156e7-a154-40ac-a52d-a7bedb3da4d0,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
822fa1da-0df2-4015-8896-fb84a60f20f8,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
b54edacd-7b93-4a8f-b742-a780a0676593,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
4347a2bc-3586-414e-af6e-be6ac5d33f57,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
f7664072-0c71-40a7-9d13-e49573eae1dd,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
07e1c866-a691-4980-9d20-063c119eb740,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
9ac1e52b-ceef-40c8-8343-ff46a6413b55,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
f8251847-53d6-4a21-ad0c-ba539f4be862,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
9a8e7798-f62a-4af2-ae43-4bc2c790e280,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
a2036b1f-dcba-4e7f-a308-85a006fcdf46,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
37dc36d4-4d00-4ddf-ae41-13328e5fa34a,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
e7d03005-d547-4269-9bb4-33bf235fe349,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
9b3a3b4c-e33d-4c04-b8dd-2f0cf65bcf1e,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
d0743815-0f65-4178-9243-3fb3b16f5c2a,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
c1dbddc2-58f2-4881-8b8a-5245d8a6f7d8,O0774AAV0A,D_REG,Jardim América,SV774,0,o0sw
ad042870-7439-48cf-9caa-646e8ef6b590,O0774AAV0A,D_REG,Madureira,SV774,1,kdrb
431307d6-a456-46f7-878a-586d612b646f,O0711AAA0A,S_REG,Rio Comprido,711,0,2kyb
65be9208-7da4-4c67-bc37-045e1032d835,O0774AAV0A,D_REG,Madureira,SV774,1,kdrb
15485932-c699-4c25-a939-12d48f4ff6b1,O0774AAV0A,D_REG,Madureira,SV774,1,kdrb
15709755-a3de-45f5-b01d-b73846f64dbf,O0774AAV0A,D_REG,Madureira,SV774,1,kdrb
24fb7c1b-0281-416c-b914-ea124885e168,O0774AAV0A,D_REG,Madureira,SV774,1,kdrb
836a1116-be83-4404-82d5-f4d6a74495f9,O0774AAV0A,D_REG,Madureira,SV774,1,kdrb
ca274cb1-ac48-40e5-bd0b-66cc7d82ab8b,O0774AAV0A,D_REG,Madureira,SV774,1,kdrb
